Unique ID,Title,Source,Owner,Status,category
,Dokdo Island,http://en.wikipedia.org/wiki/Liancourt_Rocks,Kyounghee Lee,Needs to be written,about Dokdo
,South Korea,http://en.wikipedia.org/wiki/South_Korea,Kyounghee Lee,Needs to be written,Countries Dokdo is located in
,Japan,http://en.wikipedia.org/wiki/Japan,Kyounghee Lee,Needs to be written,Countries Dokdo is located in
,The name of Liancourt Rocks,http://en.wikipedia.org/wiki/Liancourt_Rocks,Kyounghee Lee,Needs to be written,Island within Dokdo
,Location of Dokdo,www.dokdo.go.kr,Kyounghee Lee,Needs to be written,about Dokdo
,Size of Dokdo,www.dokdo.go.kr,Kyounghee Lee,Needs to be written,about Dokdo
,Natural Environment,www.dokdo.go.kr,Kyounghee Lee,Needs to be written,about Dokdo
,Tourism,www.dokdo.go.kr,Kyounghee Lee,Needs to be written,Useful Info about Dokdo
,People of Dokdo,www.dokdo.go.kr,Kyounghee Lee,Needs to be written,about Dokdo
,Takeshima Island,http://en.wikipedia.org/wiki/Takeshima_(disambiguation),Kyounghee Lee,Needs to be written,Island within Dokdo
,North Gyeongsang Province,http://en.wikipedia.org/wiki/Gyeongsangbuk-do,Kyounghee Lee,Needs to be written,Island within Dokdo
,Ulleung county,http://en.wikipedia.org/wiki/Ulleung_County,Kyounghee Lee,Needs to be written,Island within Dokdo
,Ecology,http://en.wikipedia.org/wiki/Ecology,Kyounghee Lee,Needs to be written,about Dokdo
,Diplomatic Issue,http://ko.wikipedia.org/wiki/%EB%8F%85%EB%8F%84,Kyounghee Lee,Needs to be written,Useful Info about Dokdo
,Dokdo Korean Territory,http://dokdo.mofa.go.kr/,Ministry of Foreign Affairs,Needs to be written,about Dokdo
